Simulation number	Chl-a (ug/l)	TSM (mg/l)	a400 (1/m)	a_tot_443 (1/m)	a_ph_443 (1/m)	a_cdom_443 (1/m)	a_tsm_443 (1/m)	a_w_443 (1/m)	b_tot_443 (1/m)	b_tsm_443 (1/m)	b_w_443 (1/m)	S3400	S3412.5	S3442.5	S3490	S3510	S3560	S3620	S3665	S3673.75	S3681.25	S3708.75	S3753.75
1	18	1.39	3.69	2.3479	0.37467	1.8545	0.11165	0.007046	1.3252	1.3214	0.0037518	0.00021752	0.000246065	0.000337608	0.000613159	0.000787938	0.001446934	0.001185503	0.000840021	0.000764097	0.000747919	0.000611293	0.000195545
2	21	5	5.54	3.6146	0.42166	2.7843	0.40161	0.007046	4.7571	4.7534	0.0037518	0.000443738	0.000511603	0.000731596	0.001393592	0.001828157	0.003581726	0.003733121	0.002888508	0.002637874	0.002600397	0.002239329	0.000707293
3	16	2.88	4.06	2.6212	0.34232	2.0405	0.23132	0.007046	2.7417	2.7379	0.0037518	0.000366484	0.000420025	0.000592873	0.001112215	0.001446521	0.00274205	0.002455004	0.001792882	0.001640757	0.00160872	0.001284571	0.000404454
4	8.45	2.56	3.38	2.1212	0.20985	1.6987	0.20562	0.007046	2.4375	2.4337	0.0037518	0.000400152	0.000460903	0.000658103	0.001244579	0.001613651	0.00298953	0.00250908	0.00181501	0.001687236	0.001644463	0.001163824	0.000359736
5	7.5	2.44	4.92	2.8672	0.19152	2.4727	0.19598	0.007046	2.3234	2.3197	0.0037518	0.000274232	0.000317963	0.000461094	0.000883862	0.001153545	0.002196249	0.002181369	0.001686228	0.001583629	0.001548465	0.001094704	0.000342077
6	3.33	0.95	1.23	0.80431	0.10278	0.61817	0.076305	0.007046	0.90689	0.90314	0.0037518	0.000468966	0.000529564	0.000722768	0.001285051	0.00158162	0.002431189	0.001213424	0.000786384	0.00073488	0.000704685	0.000442953	0.000135176
7	2.86	0.8	2.34	1.3388	0.091466	1.176	0.064257	0.007046	0.76429	0.76054	0.0037518	0.000233667	0.000266457	0.000372549	0.000677698	0.000852782	0.001428225	0.000943736	0.000650568	0.00061257	0.000588771	0.000371265	0.000114212
8	2.97	0.97	2.46	1.4155	0.094152	1.2363	0.077911	0.007046	0.92591	0.92216	0.0037518	0.000255684	0.000292717	0.000412831	0.000759838	0.000961713	0.001638667	0.001121345	0.000779839	0.000734695	0.000706898	0.000447433	0.000137719
9	3.28	0.71	2.91	1.6282	0.10159	1.4625	0.057028	0.007046	0.67873	0.67498	0.0037518	0.000174802	0.000199122	0.000277945	0.000504669	0.000637962	0.001092658	0.000799785	0.000565267	0.000532685	0.000513355	0.000328839	0.00010169
10	3.15	0.57	2.63	1.4731	0.098494	1.3218	0.045783	0.007046	0.54564	0.54189	0.0037518	0.00016659	0.000188683	0.000259999	0.000464081	0.000581739	0.000971447	0.000668477	0.0004642	0.000436786	0.000420195	0.000267341	8.24E-05
